"sample.id","UID","iso2","iso3","code3","FIPS","Admin2","Province_State","Country_Region","Lat","Long_","Combined_Key","nb.cases.per.day","power.law.exponent","growth.rate.incidence.package","doubling.time","earlyR0.nishiura","earlyR0.wang","earlyR0.du","growth.rate.R0.package","R0.EG.nishiura","R0.EG.wang","R0.EG.du","R0.ML.nishiura","R0.ML.wang","R0.ML.du","total.nb.cases","first.date","end.date","observational.period"
"US_1","16","AS","ASM","16","60","","American Samoa","US","-14.271","-170.132","American Samoa, US","0","0","-Inf","Inf","0","0","0","-Inf","0","0","0","0","0","0","0",NA,NA,NA
"US_2","316","GU","GUM","316","66","","Guam","US","13.4443","144.7937","Guam, US","6.18181818181818","0.100782110889621","0.0279727045244574","24.7794123715819","1.48148148148148","2.14214214214214","1.8018018018018","0.0789231593936016","1.49793260032601","1.75408901231792","1.57077657302927","1.96180498544142","2.70870335543549","2.13290994569037","68","2020-03-27","2020-04-06","11"
"US_3","580","MP","MNP","580","69","","Northern Mariana Islands","US","15.0979","145.6739","Northern Mariana Islands, US","0","0","-Inf","Inf","0","0","0","-Inf","0","0","0","0","0","0","0",NA,NA,NA
"US_4","630","PR","PRI","630","72","","Puerto Rico","US","18.2208","-66.5901","Puerto Rico, US","36.4615384615385","0.657554752787932","0.115700110106017","5.99089473575099","1.44144144144144","2.06206206206206","1.74174174174174","0.0979528452590787","1.64356861187896","1.97294535761821","1.73319222668843","1.89133011198698","2.62216554039296","2.07896270388636","474","2020-03-25","2020-04-06","13"
"US_5","850","VI","VIR","850","78","","Virgin Islands","US","18.3358","-64.8963","Virgin Islands, US","0","0","-Inf","Inf","0","0","0","-Inf","0","0","0","0","0","0","0",NA,NA,NA
"US_6","84001001","US","USA","840","1001","Autauga","Alabama","US","32.53952745","-86.64408227","Autauga, Alabama, US","0","0","-Inf","Inf","0","0","0","-Inf","0","0","0","0","0","0","0",NA,NA,NA
"US_7","84001003","US","USA","840","1003","Baldwin","Alabama","US","30.72774991","-87.72207058","Baldwin, Alabama, US","0","0","-Inf","Inf","0","0","0","-Inf","0","0","0","0","0","0","0",NA,NA,NA
"US_8","84001005","US","USA","840","1005","Barbour","Alabama","US","31.868263","-85.3871286","Barbour, Alabama, US","0","0","-Inf","Inf","0","0","0","-Inf","0","0","0","0","0","0","0",NA,NA,NA
"US_9","84001007","US","USA","840","1007","Bibb","Alabama","US","32.99642064","-87.1251146","Bibb, Alabama, US","0","0","-Inf","Inf","0","0","0","-Inf","0","0","0","0","0","0","0",NA,NA,NA
"US_10","84001009","US","USA","840","1009","Blount","Alabama","US","33.98210918","-86.56790593","Blount, Alabama, US","0","0","-Inf","Inf","0","0","0","-Inf","0","0","0","0","0","0","0",NA,NA,NA
"US_11","84001011","US","USA","840","1011","Bullock","Alabama","US","32.10030533","-85.71265535","Bullock, Alabama, US","0","0","-Inf","Inf","0","0","0","-Inf","0","0","0","0","0","0","0",NA,NA,NA
"US_12","84001013","US","USA","840","1013","Butler","Alabama","US","31.75300095","-86.68057478","Butler, Alabama, US","0","0","-Inf","Inf","0","0","0","-Inf","0","0","0","0","0","0","0",NA,NA,NA
"US_13","84001015","US","USA","840","1015","Calhoun","Alabama","US","33.77483727","-85.82630386","Calhoun, Alabama, US","0","0","-Inf","Inf","0","0","0","-Inf","0","0","0","0","0","0","0",NA,NA,NA
"US_14","84001017","US","USA","840","1017","Chambers","Alabama","US","32.91360079","-85.39072749","Chambers, Alabama, US","10.4","-1.32408553459947","-0.509067800176979","Inf","1.27127127127127","2.05205205205205","1.69169169169169","-0.552207756476632","0.0198553453187679","3.42823098135082e-06","0.000524411464117727","1.5539981867597","2.13158338823765","1.57548155529541","52","2020-04-02","2020-04-06","5"
"US_15","84001019","US","USA","840","1019","Cherokee","Alabama","US","34.17805983","-85.60638968","Cherokee, Alabama, US","0","0","-Inf","Inf","0","0","0","-Inf","0","0","0","0","0","0","0",NA,NA,NA
"US_16","84001021","US","USA","840","1021","Chilton","Alabama","US","32.85044126","-86.7173256","Chilton, Alabama, US","0","0","-Inf","Inf","0","0","0","-Inf","0","0","0","0","0","0","0",NA,NA,NA
